bundesland,jahr,monat,real,real-veraenderung,nominal,nominal-veraenderung
Nordrhein-Westfalen,2022,November,...,...,...,...
Nordrhein-Westfalen,2022,Dezember,...,...,...,...
Rheinland-Pfalz,2020,Januar,78.4,2.6,86.2,5.5
Rheinland-Pfalz,2020,Februar,82.4,8,90.9,11
Rheinland-Pfalz,2020,März,51.9,-44.9,57.2,-43.4
Rheinland-Pfalz,2020,April,21.6,-78.6,23.9,-78.1
Rheinland-Pfalz,2020,Mai,45.3,-60.9,50.4,-60.2
Rheinland-Pfalz,2020,Juni,75,-38.8,83.1,-38.1
Rheinland-Pfalz,2020,Juli,97,-17.1,112.1,-12.3
Rheinland-Pfalz,2020,August,106.7,-16.4,123.2,-11.6
Rheinland-Pfalz,2020,September,104.5,-11.6,120.7,-7.2
Rheinland-Pfalz,2020,Oktober,89,-22,103,-17.9
Rheinland-Pfalz,2020,November,28.2,-70.9,32.7,-69.3
Rheinland-Pfalz,2020,Dezember,25.9,-74.5,29.9,-73.2
Rheinland-Pfalz,2021,Januar,22.5,-71.3,25.6,-70.3
Rheinland-Pfalz,2021,Februar,23,-72.1,26.3,-71.1
Rheinland-Pfalz,2021,März,28.3,-45.5,32.3,-43.5
Rheinland-Pfalz,2021,April,28.6,32.4,32.7,36.8
Rheinland-Pfalz,2021,Mai,...,...,...,...
Rheinland-Pfalz,2021,Juni,...,...,...,...
Rheinland-Pfalz,2021,Juli,...,...,...,...
Rheinland-Pfalz,2021,August,...,...,...,...
Rheinland-Pfalz,2021,September,...,...,...,...
Rheinland-Pfalz,2021,Oktober,...,...,...,...
Rheinland-Pfalz,2021,November,...,...,...,...
Rheinland-Pfalz,2021,Dezember,...,...,...,...
Rheinland-Pfalz,2022,Januar,...,...,...,...
Rheinland-Pfalz,2022,Februar,...,...,...,...
Rheinland-Pfalz,2022,März,...,...,...,...
Rheinland-Pfalz,2022,April,...,...,...,...
Rheinland-Pfalz,2022,Mai,...,...,...,...
Rheinland-Pfalz,2022,Juni,...,...,...,...
Rheinland-Pfalz,2022,Juli,...,...,...,...
Rheinland-Pfalz,2022,August,...,...,...,...
Rheinland-Pfalz,2022,September,...,...,...,...
Rheinland-Pfalz,2022,Oktober,...,...,...,...
Rheinland-Pfalz,2022,November,...,...,...,...
Rheinland-Pfalz,2022,Dezember,...,...,...,...
Saarland,2020,Januar,79.7,2.2,87.6,5
Saarland,2020,Februar,77,-4.5,84.7,-2.1
Saarland,2020,März,50,-42.3,55,-40.9
Saarland,2020,April,19.7,-78.1,21.7,-77.7
Saarland,2020,Mai,35.2,-62.8,39,-62.2
Saarland,2020,Juni,59.2,-38.7,65.6,-37.9
Saarland,2020,Juli,73.6,-21.3,85.5,-16.4
Saarland,2020,August,82,-18.1,95.2,-13
Saarland,2020,September,80.1,-14.7,92.9,-9.9
Saarland,2020,Oktober,71.9,-31.3,83.5,-27.3
Saarland,2020,November,28.5,-69.9,32.8,-68.5
Saarland,2020,Dezember,26.7,-80.2,30.8,-79.2
Saarland,2021,Januar,28.1,-64.7,32.1,-63.4
Saarland,2021,Februar,28.7,-62.7,32.8,-61.3
Saarland,2021,März,33.6,-32.8,38.3,-30.4
Saarland,2021,April,35.1,78.2,40.1,84.8
Saarland,2021,Mai,36.1,2.6,41.6,6.7
Saarland,2021,Juni,65.4,10.5,76.3,16.3
Saarland,2021,Juli,83.2,13,97.4,13.9
Saarland,2021,August,84.4,2.9,99.1,4.1
Saarland,2021,September,82.8,3.4,97.1,4.5
Saarland,2021,Oktober,79.2,10.2,93.2,11.6
Saarland,2021,November,67.1,135.4,78.8,140.2
Saarland,2021,Dezember,59.4,122.5,70,127.3
Saarland,2022,Januar,54.7,94.7,64.8,101.9
Saarland,2022,Februar,57.4,100,68.4,108.5
Saarland,2022,März,66.2,97,79.3,107
Saarland,2022,April,76.7,118.5,92.9,131.7
Saarland,2022,Mai,83.7,131.9,102.7,146.9
Saarland,2022,Juni,81.1,24,100.7,32
Saarland,2022,Juli,87.1,4.7,109.8,12.7
Saarland,2022,August,84.4,0,106.8,7.8
Saarland,2022,September,78.4,-5.3,100.4,3.4
Saarland,2022,Oktober,...,...,...,...
Saarland,2022,November,...,...,...,...
Saarland,2022,Dezember,...,...,...,...
Sachsen,2020,Januar,87,3.3,95.4,6.1
Sachsen,2020,Februar,85.6,1.1,94.1,3.6
Sachsen,2020,März,56.6,-39.3,62.1,-37.8
Sachsen,2020,April,25.1,-75.3,27.6,-74.9
Sachsen,2020,Mai,46.8,-58.1,51.7,-57.6
Sachsen,2020,Juni,76.6,-34.5,84.9,-33.6
Sachsen,2020,Juli,97.3,-10.7,112.2,-5.6
Sachsen,2020,August,100.3,-14.7,115.6,-9.8
Sachsen,2020,September,102.9,-9.3,118.5,-4.9
Sachsen,2020,Oktober,94.4,-13.1,108.6,-9
Sachsen,2020,November,37.9,-64.1,43.1,-62.8
Sachsen,2020,Dezember,32.7,-74.2,37.3,-73.2
Sachsen,2021,Januar,27,-69,30.4,-68.1
Sachsen,2021,Februar,29.8,-65.2,33.5,-64.4
Sachsen,2021,März,35.4,-37.5,40,-35.6
Sachsen,2021,April,34.1,35.9,38.6,39.9
Sachsen,2021,Mai,38.8,-17.1,44.2,-14.5
Sachsen,2021,Juni,71.2,-7,82.6,-2.7
Sachsen,2021,Juli,103.5,6.4,120.4,7.3
Sachsen,2021,August,103.9,3.6,121.1,4.8
Sachsen,2021,September,104.5,1.6,121.7,2.7
Sachsen,2021,Oktober,101.4,7.4,118.3,8.9
Sachsen,2021,November,66.2,74.7,77.1,78.9
Sachsen,2021,Dezember,47.3,44.6,55.4,48.5
Sachsen,2022,Januar,46,70.4,53.7,76.6
Sachsen,2022,Februar,58.6,96.6,69.2,106.6
Sachsen,2022,März,...,...,...,...
Sachsen,2022,April,...,...,...,...
Sachsen,2022,Mai,...,...,...,...
